ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	MEANING	SENSE	SENSE_ID
1	2924	A LITTLE	waihts	Ding;  Sache;  Etwas	 Etwas	Etwas-1
2	1815	ACHE				
3	2882	ADD	bi-aukan	hinzufügen	hinzufügen	hinzufugen-1
4	2214	AFFAIR				
5	2093	AFTERWARDS				
6	204	AGAIN	aftra	wieder	wieder	wieder-1
7	1789	AGE	aldomin	Alter	Alter	Alter-1
8	1789	AGE	fairniþa	Alter	Alter	Alter-2
9	27	AIR	luftu	Luft	Luft	Luft-1
10	98	ALL				
11	1964	ALONE	sundro	abgesondert;  besonders;  allein	 allein	allein-1
12	2576	ALREADY	ju	schon	schon	schon-1
13	2576	ALREADY	juþan	schon	schon	schon-2
14	1676	ALWAYS	sinteino	immer;  allezeit	immer	immer-1
15	2987	AMOUNT	filusna	Vielheit;  Menge;  Übermaß	 Menge	Menge-1
16	2987	AMOUNT	hiuhma	 Menge; Haufe	 Menge	Menge-2
17	2987	AMOUNT	managei	Menge	Menge	Menge-3
18	1577	AND	jah	und;  und zwar;  auch	und	und-1
19	1577	AND	-uh	 nun; und;  also	und	und-2
20	619	ANIMAL				
21	587	ANT				
22	1320	APPLE				
23	2847	APRIL				
24	2980	AREA	fera	Seite;  Gegend	 Gegend	Gegend-1
25	2980	AREA	land	Land;  Gegend	 Gegend	Gegend-2
26	1673	ARM	arms	Arm	Arm	Arm-1
27	1387	ARRIVE	niutan	treffen;  erreichen;  einer Sache froh sein	 erreichen	erreichen-1
28	977	ARROW	arƕazna	Pfeil	Pfeil	Pfeil-1
29	646	ASH	azgo	Asche	Asche	Asche-1
30	1309	ASK (INQUIRE)	fragan	fragen	fragen	fragen-1
31	1309	ASK (INQUIRE)	fraihnan	fragen	fragen	fragen-2
32	1828	ASK (REQUEST)	bidjan	 betteln; bitten;  beten	bitten	bitten-1
33	1828	ASK (REQUEST)	ga-bidjan	 bitten; beten	 bitten	bitten-2
34	3638	ASSEMBLE (GET TOGETHER)				
35	2915	AT FIRST	frumist	zuerst	zuerst	zuerst-1
36	2922	AT THAT TIME				
37	2851	AUGUST				
38	1272	AUNT				
39	1276	AUTUMN				
40	1291	BACK				
41	2910	BACK (DIRECTION)				
42	2911	BACKWARD				
43	1292	BAD				
44	56	BAD LUCK				
45	2468	BAG				
46	183	BAKE				
47	1204	BARK				
48	1206	BARKING				
49	138	BATHE				
50	663	BAY				
51	972	BE ABLE	magan*	können;  vermögen	können	konnen-1
52	1422	BE ALIVE	liban	leben	leben	leben-1
53	1422	BE ALIVE	us-mitan	wandeln;  leben;  sich benehmen	 leben	leben-2
54	1422	BE ALIVE	qius*	lebendig	lebendig	lebendig-1
55	2223	BE ANGRY	hatizon	zürnen	zürnen	zurnen-1
56	2223	BE ANGRY	un-werjan	 zürnen; unwillig sein	 zürnen	zurnen-2
57	2223	BE ANGRY	woþs*	wütend;  besessen	wütend	wutend-1
58	1090	BE BORN				
59	1533	BE HUNGRY	gredags	hungrig	hungrig	hungrig-1
60	1533	BE HUNGRY	gredon	hungern	hungern	hungern-1
61	1533	BE HUNGRY	huggrjan	hungern	hungern	hungern-2
62	1820	BEAR				
63	678	BEARD				
64	1427	BEAUTIFUL				
65	2918	BECAUSE OF				
66	1990	BECOME	wairþan	werden	werden	werden-1
67	2327	BECOME SICK				
68	1663	BED	badi	Bett	Bett	Bett-1
69	1663	BED	ligrs	 Bett; Lager	 Bett	Bett-2
70	1882	BEFORE	faurþis	zuvor;  früher	zuvor	zuvor-1
71	1806	BEGIN	ana-stodjan	anfangen;  anheben	anfangen	anfangen-1
72	1806	BEGIN	du-stodjan	anfangen;  anheben	anfangen	anfangen-2
73	1686	BEHIND	hindana	hinter;  jenseits	hinter	hinter-1
74	1686	BEHIND	hindar	hinter;  jenseits	hinter	hinter-2
75	1890	BELIEVE	ga-laubjan	glauben	glauben	glauben-1
76	1890	BELIEVE	man	meinen;  glauben;  dafür halten	 glauben	glauben-2
77	1890	BELIEVE	munan	meinen;  glauben;  dafür halten; etw. zu tun gedenken;  wollen	 glauben	glauben-3
78	1890	BELIEVE	þugkjan	 meinen; glauben;  gelten	glauben	glauben-4
79	1251	BELLY	wamba	 Schoß; Bauch	Bauch	Bauch-1
80	1485	BELOW OR UNDER	in	in;  auf;  an;  unter	 unter	unter-1
81	1485	BELOW OR UNDER	in-uh, in-uþ-	in;  auf;  an;  unter	 unter	unter-2
82	1485	BELOW OR UNDER	miþ	 bei;  unter; mit	 unter	unter-3
83	1485	BELOW OR UNDER	uf	unter	unter	unter-4
84	1485	BELOW OR UNDER	undaro	unter	unter	unter-5
85	772	BELT	gairda	Gürtel	Gürtel	Gurtel-1
86	2224	BEND (SOMETHING)				
87	2929	BENEFIT	bota	Nutzen	Nutzen	Nutzen-1
88	904	BERRY				
89	689	BETWEEN				
90	1202	BIG	mikils	groß	groß	gro-1
91	1855	BIRCH				
92	937	BIRD	fugls	Vogel	Vogel	Vogel-1
93	1403	BITE	beitan	beißen	beißen	beien-1
94	887	BITTER	baitrs	bitter	bitter	bitter-1
95	163	BLACK	swarts	schwarz	schwarz	schwarz-1
96	806	BLANKET				
97	1653	BLIND	blinds	blind	blind	blind-1
98	946	BLOOD	bloþ	Blut	Blut	Blut-1
99	175	BLOW (OF WIND)				
100	176	BLOW (WITH MOUTH)				
101	837	BLUE				
102	379	BLUNT				
103	1227	BOARD				
104	101	BOAST	flautjan	prahlen	prahlen	prahlen-1
105	1844	BOAT				
106	1480	BODY	leik	Körper;  Leib	Körper	Korper-1
107	1480	BODY	leik	Körper;  Leib	 Leib	Leib-1
108	792	BOIL (OF LIQUID)	wulan	wallen;  sieden	 sieden	sieden-1
109	2492	BOIL (SOMETHING)				
110	2860	BOLT (MOVE IN HASTE)	sniumjan	eilen	eilen	eilen-1
111	2860	BOLT (MOVE IN HASTE)	sniwan	eilen	eilen	eilen-2
112	1394	BONE				
113	963	BOOK				
114	585	BOOT				
115	2546	BORDER	marka	Mark;  Grenze	 Grenze	Grenze-1
116	2930	BOSS				
117	2869	BOTHER (HARASS)	kaurjan	drücken;  belästigen	 belästigen	belastigen-1
118	994	BOW				
119	1465	BOX				
120	1366	BOY	magus	Knabe	Knabe	Knabe-1
121	1583	BRAIN				
122	1531	BRANCH	asts	Ast	Ast	Ast-1
123	2902	BRAWL (FIGHT)				
124	1368	BREAD	hlaifs	Brot;  Brotbissen	Brot	Brot-1
125	2558	BREAK (CLEAVE)	ga-brikan	zerbrechen	zerbrechen	zerbrechen-1
126	2558	BREAK (CLEAVE)	ga-kroton	zerbrechen;  zerschellen	zerbrechen	zerbrechen-2
127	680	BREAK (DESTROY OR GET DESTROYED)	brikan	brechen;  zerstören	brechen	brechen-1
128	460	BREAK (OF ROPE)	tahjan	reißen;  zerren	reißen	reien-1
129	1402	BREAST	barms	Busen;  Schoß	Busen	Busen-1
130	870	BREATH				
131	1407	BREATHE				
132	1011	BRIDGE				
133	679	BRIGHT	bairhts	hell;  offenbar	hell	hell-1
134	679	BRIGHT	liuhadeins*	hell	hell	hell-2
135	692	BRING	at-bairan	bringen	bringen	bringen-1
136	692	BRING	briggan	bringen	bringen	bringen-2
137	245	BROOM				
138	1262	BROTHER	broþar	Bruder	Bruder	Bruder-1
139	2052	BUCKET				
140	2861	BUDGE (ONESELF)				
141	1840	BUILD	timbrjan	bauen	bauen	bauen-1
142	1840	BUILD	timrjan	bauen	bauen	bauen-2
143	1008	BULL	stiur	Stier;  Kalb	Stier	Stier-1
144	2943	BUNDLE				
145	141	BURN (SOMETHING)	ga-brannjan	verbrennen	verbrennen	verbrennen-1
146	141	BURN (SOMETHING)	uf-brinnan	verbrennen	verbrennen	verbrennen-2
147	141	BURN (SOMETHING)	in-tandjan	 verbrennen; in Brand setzen	 verbrennen	verbrennen-3
148	141	BURN (SOMETHING)	in-tundnan	verbrennen	verbrennen	verbrennen-4
149	1428	BURNING	brinnan	brennen	brennen	brennen-1
150	1428	BURNING	tundnan	brennen	brennen	brennen-2
151	2931	BUSINESS	gawaurki	 Erwerb; Geschäft;  Gewinn	Geschäft	Geschaft-1
152	1245	BUTTER				
153	1791	BUTTERFLY				
154	757	BUTTON				
155	1869	BUY	bugjan	kaufen	kaufen	kaufen-1
156	2867	CALCULATE	rahnjan	rechnen	rechnen	rechnen-1
157	1084	CALL	hropjan	rufen	rufen	rufen-1
158	1084	CALL	wopjan	rufen	rufen	rufen-2
159	2944	CALL (APPEAL)	hrops	Ruf;  Geschrei	Ruf	Ruf-1
160	180	CALL BY NAME	haitan	heißen;  nennen	 nennen	nennen-1
161	180	CALL BY NAME	namnjan	nennen	nennen	nennen-2
162	180	CALL BY NAME	ga-namnjan	benennen	benennen	benennen-1
163	180	CALL BY NAME	in-sakan	vorstellen;  anraten;  eintreten für;  bezeichnen	 bezeichnen	bezeichnen-1
