ID,Description,Entry_ID
145-eid,Eid,145-ais
146-oder,oder,146-aiau
147-evangelium,Evangelium,147-aiwaggeli
148-aiwaggelista,aiwaggelista,148-aiwaggelista
149-dasevangeliumverkunden,das Evangelium verkünden,149-aiwaggeljan
150-evangelium,Evangelium,150-aiwaggeljo
151-ewig,ewig,151-aiweins
152-schande,Schande,152-aiwiski
153-schandlichhandeln,schändlich handeln,153-aiwiskon
154-beschamenbeschimpfen,"beschämen, beschimpfen",154-gaaiwiskon
155-sichanstrengen,sich anstrengen,155-usaiwjan
156-segen,Segen ,156-aiwlaugia
157-aiwneikai,Aiwneikai,157-aiwneikai
158-zeitewigkeit,"Zeit, Ewigkeit",158-aiws
159-aiwwa,Aiwwa,159-aiwwa
160-dank,Dank,160-aiwxaristia
161-erz,Erz,161-aiz
162-aizaikeia,Aizaikeia,162-aizaikeia
163-erzschmied,Erzschmied,163-aizasmia
164-aizleim,Aizleim,164-aizleim
165-aizor,Aizor,165-aizor
166-ewigkeit,Ewigkeit,166-ajukdus
167-sondern,sondern,167-ak
168-akaja,Akaja,168-akaja
169-akajus,Akajus*,169-akajus
170-akaikus,Akaïkus,170-akaikus
171-aber,aber,171-akei
172-essig,Essig,172-aket
173-frucht,Frucht,173-akran
174-unfruchtbar,unfruchtbar,174-akranalaus
175-acker,Acker,175-akrs
176-akwla,Akwla,176-akwla
177-salbenbuchseausalabaster,Salbenbüchse aus Alabaster,177-alabalstraun
178-brandopfer,Brandopfer,178-alabrunsts
179-alaiksandrus,Alaiksandrus,179-alaiksandrus
180-insgesamt,insgesamt,180-alakjo
181-gesamtheitdermenschen,Gesamtheit der Menschen,181-alamans
182-alamannans,alamannans*,182-alamannans
183-alamod,Alamod,183-alamod
184-wachsen,wachsen,184-alan
185-anallemmangelleidend,an allem Mangel leidend,185-alaarba
186-alter,Alter,186-aldomin
187-menschenalterzeit,"Menschenalter, Zeit",187-alds
188-elle,Elle,188-aleina
189-ol,Öl,189-alew
190-olbaum,Ölbaum,190-alewabagms
191-ol,Öl,191-alewja
192-alfaius,Alfaius,192-alfaius
193-tempel,Tempel,193-alhs
194-auer,außer,194-alja
195-anderswoherstammend,anderswoher stammend,195-aljakuns
196-anders,anders,196-aljaleiko
197-anders,anders,197-aljaleikos
198-andersgebildetallegorisch,"anders gebildet, allegorisch",198-aljaleikos
199-masten,mästen,199-aljan
200-eifer,Eifer,200-aljan
201-eifern,eifern,201-aljanon
202-zornigmachen,zornig machen,202-inaljanon
203-anderswo,anderswo,203-aljar
204-anderswohin,anderswohin,204-alja
205-anderswoher,anderswoher,205-aljaro
206-einandrer,ein andrer,206-aljis
207-vollig,völlig,207-allandjo
208-vonallenseitenher,von allen Seiten her,208-allaro
209-vollkommen,vollkommen,209-allawaurstwa
210-redlichkeit,Redlichkeit,210-allawerei
211-uberhaupt,überhaupt,211-allis
212-alljederganz,"all, jeder, ganz",212-alls
213-allmachtiger,Allmächtiger,213-allwaldands
214-altwerden,alt werden,214-usalan
215-alt,alt,215-aleis
216-alul,[Alul],216-alul
217-ameinadab,Ameinadab*,217-ameinadab
218-amen,amen,218-amen
219-ammo,Ammo*,219-ammo
220-schulter,Schulter,220-ams
221-amsa,amsa*,221-amsa
222-dennnun,"denn, nun",222-an
223-daraufauerdem,"darauf, außerdem",223-ana
224-gebot,Gebot,224-anabusns
225-empfehlunguberlieferung,"Empfehlung, Überlieferung",225-anafilh
226-inderheimatbefindlich,in der Heimat befindlich,226-anahaimeis
227-plotzlich,plötzlich,227-anaks
228-lesung,Lesung,228-anakunnains
229-auflegung,Auflegung,229-analageins
230-verborgenheit,Verborgenheit,230-analaugnei
231-verborgen,verborgen,231-analaugns
232-aufgleicheweise,auf gleiche Weise,232-analeiko
233-ubermachtmihandlung,"Übermacht, Mißhandlung",233-anamahts
234-verstecktemeinungvermutung,"versteckte Meinung, vermutung",234-anaminds
235-ausatmen,ausatmen,235-uzanan
236-ananias,Ananias*,236-ananias
237-ananeias,Ananeias*,237-ananeias
238-erneuerung,Erneuerung,238-ananiujia
239-ruhe,Ruhe,239-anaqal
240-lasterung,Lästerung,240-anaqiss
241-sichtbar,sichtbar,241-anasiuns
242-anfang,Anfang,242-anastodeins
243-anaaima,anaþaima,243-anaaima
244-anao,Anaþoþ,244-anao
245-zukunftig,zukünftig,245-anawairs
246-billigkeit,Billigkeit,246-anawiljei
247-entlanguberhinaufhin,"entlang, über __ hin, auf __ hin",247-and
248-losegeld,Lösegeld,248-andabauhts
249-tadel,Tadel,249-andabeit
250-antwortverteidigung,Antwort; Verteidigung,250-andahafts
251-bekenntnis,Bekenntnis,251-andahait
252-gegenlohnvergeltung,Gegenlohn; Vergeltung,252-andalauni
253-abend,Abend,253-andanahti
254-feindlich,feindlich,254-andaneia
255-dasempfangen,das Empfangen,255-andanem
256-festhaltend,festhaltend,256-andanemeigs
257-angenehm,angenehm,257-andanems
258-aufnahmeannahmeerhebung,"Aufnahme, Annahme; Erhebung",258-andanumts
259-verabscheuungswert,verabscheuungswert,259-andasets
260-widersacher,Widersacher,260-andastajis
261-gegnervorgericht,Gegner vor Gericht,261-andastaua
262-nuchternverstandig,"nüchtern, verständig",262-andaahts
263-antlitz,Antlitz,263-andaugi
264-freimutigoffen,"freimütig, offen",264-andaugiba
265-offen,offen,265-andaugjo
266-preis,Preis,266-andawairi
267-antwort,Antwort,267-andawaurdi
268-soldnotdurft,Sold; Notdurft,268-andawizns
269-angesicht,Angesicht,269-andawleizn
270-amtdienst,"Amt, Dienst",270-andbahti
271-etwasleisten,etwas  leisten,271-andbahtjan
272-diener,Diener,272-andbahts
273-ende,Ende,273-andeis
274-enthullungoffenbarung,"Enthüllung, Offenbarung",274-andhuleins
275-endlos,endlos,275-andilaus
276-anderssonst,"anders, sonst",276-andizuh
277-andraias,Andraias,277-andraias
278-darbietungbeistand,"Darbietung, Beistand",278-andstald
279-gegenwartangesichtperson,"Gegenwart, Angesicht, Person",279-andwairi
280-gegenwartig,gegenwärtig,280-andwairs
281-anna,Anna,281-anna
282-annas,Annas,282-annas
283-sold,Sold,283-anno
284-ano,Ano*,284-ano
285-balken,Balken,285-ans
286-gnadig,gnädig,286-ansteigs
287-freudedankgnadegunst,"Freude; Dank; Gnade, Gunst",287-ansts
288-antiaukiaantiokia,"Antiaukia*, Antiokia*",288-antiaukiaantiokia
289-andererzweiter,"anderer, zweiter",289-anar
290-verschiedenheit,Verschiedenheit,290-anarleikei
291-anders,anders,291-anarleiko
292-appaullo,Appaullo*,292-appaullo
293-apostolat,Apostolat,293-apaustaulei
294-apostel,Apostel,294-apaustaulus
295-axt,Axt,295-aqizi
296-aar,Aar,296-ara
297-arabia,Arabia,297-arabia
298-araita,Araita*,298-araita
299-aram,Aram,299-aram
300-arbeitendulden,arbeiten; dulden,300-arbaidjan
301-seineehresetzenintrachtennach,"seine Ehre setzen in, trachten nach",301-biarbaidjan
302-mitjemarbeitenmitjemleiden,mit Jem. arbeiten; mit Jem. leiden,302-miarbaidjan
303-durcharbeiten,dúrcharbeiten,303-airharbaidjan
304-arbeitdrangsal,"Arbeit, Drangsal",304-arbais
305-daserbe,das Erbe,305-arbi
306-dererbe,der Erbe,306-arbinumja
307-dererbe,der Erbe,307-arbja
308-erbin,Erbin,308-arbjo
309-areimaaia,Areimaþaia,309-areimaaia
310-areistarkus,Areistarkus,310-areistarkus
311-arfaksad,Arfaksad*,311-arfaksad
312-pfeil,Pfeil,312-arazna
313-pflugen,pflügen,313-arjan
314-holzernerkastenarchefutteralbeutel,"hölzerner Kasten, Arche; Futteral, Beutel",314-arka
