ID,Name,Concepticon_ID,Concepticon_Gloss,POS
136_bote,Bote,,,"Noun, common, masculine"
138_irregefuhrt,irre geführt,,,Adjective
139_irrlehre,Irrlehre,,,"Noun, common, feminine"
140_irrefuhren,irre führen,,,Verb
141_irremachen,irre machen,,,Verb
143_sichscheuenvor,sich scheuen vor,,,Verb
144_mutter,Mutter,,,"Noun, common, feminine"
145_eid,Eid,,,"Noun, common, masculine"
146_oder,oder,,,Conjunction
147_evangelium,Evangelium,,,"Noun, common, neuter"
148_aiwaggelista,aiwaggelista,,,"Noun, common, masculine"
149_dasevangeliumverkunden,das Evangelium verkünden,,,Verb
150_evangelium,Evangelium,,,"Noun, common, feminine"
151_ewig,ewig,,,Adjective
152_schande,Schande,,,"Noun, common, neuter"
153_schandlichhandeln,schändlich handeln,,,Verb
154_beschamenbeschimpfen,"beschämen, beschimpfen",,,Verb
155_sichanstrengen,sich anstrengen,,,Verb
156_segen,Segen ,,,"Noun, common, masculine"
157_aiwneikai,Aiwneikai,,,"Noun, proper"
158_zeitewigkeit,"Zeit, Ewigkeit",,,"Noun, common, masculine"
159_aiwwa,Aiwwa,,,"Noun, proper"
161_erz,Erz,,,"Noun, common, neuter"
162_aizaikeia,Aizaikeia,,,"Noun, proper"
163_erzschmied,Erzschmied,,,"Noun, common, masculine"
164_aizleim,Aizleim,,,"Noun, proper"
165_aizor,Aizor,,,"Noun, proper"
166_ewigkeit,Ewigkeit,,,"Noun, common, feminine"
167_sondern,sondern,,,Conjunction
168_akaja,Akaja,,,"Noun, proper"
170_akaikus,Akaïkus,,,"Noun, proper"
172_essig,Essig,,,"Noun, common"
173_frucht,Frucht,,,"Noun, common, neuter"
174_unfruchtbar,unfruchtbar,,,Adjective
175_acker,Acker,,,"Noun, common, masculine"
176_akwla,Akwla,,,"Noun, proper"
177_salbenbuchseausalabaster,Salbenbüchse aus Alabaster,,,"Noun, common"
178_brandopfer,Brandopfer,,,"Noun, common, feminine"
179_alaiksandrus,Alaiksandrus,,,"Noun, proper"
180_insgesamt,insgesamt,,,Adverb
181_gesamtheitdermenschen,Gesamtheit der Menschen,,,"Noun, common, masculine"
183_alamod,Alamod,,,"Noun, proper"
185_anallemmangelleidend,an allem Mangel leidend,,,Adjective
186_alter,Alter,,,"Noun, common"
187_menschenalterzeit,"Menschenalter, Zeit",,,"Noun, common, feminine"
188_elle,Elle,,,"Noun, common, feminine"
189_ol,Öl,,,"Noun, common, neuter"
190_olbaum,Ölbaum,,,"Noun, common, masculine"
191_ol,Öl,,,Adjective
192_alfaius,Alfaius,,,"Noun, proper"
193_tempel,Tempel,,,"Noun, common, feminine"
194_auer,außer,,,Conjunction
195_anderswoherstammend,anderswoher stammend,,,Adjective
197_anders,anders,,,"Adverb, Comparative"
198_andersgebildetallegorisch,"anders gebildet, allegorisch",,,"Participle, past"
199_masten,mästen,,,Verb
200_eifer,Eifer,,,"Noun, common, neuter"
201_eifern,eifern,,,Verb
202_zornigmachen,zornig machen,,,Verb
203_anderswo,anderswo,,,"Adverb, locative"
204_anderswohin,anderswohin,,,"Adverb, directional"
205_anderswoher,anderswoher,,,"Adverb, directional"
206_einandrer,ein andrer,,,Adjective
207_vollig,völlig,,,Adverb
208_vonallenseitenher,von allen Seiten her,,,"Adverb, directional"
209_vollkommen,vollkommen,,,"Noun, common, masculine"
210_redlichkeit,Redlichkeit,,,"Noun, common, feminine"
211_uberhaupt,überhaupt,,,Adverb
212_alljederganz,"all, jeder, ganz",,,Adjective
213_allmachtiger,Allmächtiger,,,"Noun, common, masculine"
214_altwerden,alt werden,,,Verb
216_alul,[Alul],,,"Noun, proper"
218_amen,amen,,,Foreign word
220_schulter,Schulter,,,"Noun, common, masculine"
222_dennnun,"denn, nun",,,Particle
223_daraufauerdem,"darauf, außerdem",,,Adverb
224_gebot,Gebot,,,"Noun, common, feminine"
225_empfehlunguberlieferung,"Empfehlung, Überlieferung",,,"Noun, common, neuter"
226_inderheimatbefindlich,in der Heimat befindlich,,,Adjective
227_plotzlich,plötzlich,,,"Adverb, temporal"
228_lesung,Lesung,,,"Noun, common, feminine"
229_auflegung,Auflegung,,,"Noun, common, feminine"
230_verborgenheit,Verborgenheit,,,"Noun, common, feminine"
232_aufgleicheweise,auf gleiche Weise,,,Adverb
233_ubermachtmihandlung,"Übermacht, Mißhandlung",,,"Noun, common, feminine"
234_verstecktemeinungvermutung,"versteckte Meinung, vermutung",,,"Noun, common, feminine"
235_ausatmen,ausatmen,,,Verb
239_ruhe,Ruhe,,,"Noun, common"
241_sichtbar,sichtbar,,,Adjective
242_anfang,Anfang,,,"Noun, common, feminine"
243_anaaima,anaþaima,,,Foreign word
244_anao,Anaþoþ,,,"Noun, proper"
245_zukunftig,zukünftig,,,Adjective
246_billigkeit,Billigkeit,,,"Noun, common, feminine"
247_entlanguberhinaufhin,"entlang, über __ hin, auf __ hin",,,"Preposition, +A"
248_losegeld,Lösegeld,,,"Noun, common, feminine"
249_tadel,Tadel,,,"Noun, common, neuter"
250_antwortverteidigung,Antwort; Verteidigung,,,"Noun, common, feminine"
251_bekenntnis,Bekenntnis,,,"Noun, common, neuter"
252_gegenlohnvergeltung,Gegenlohn; Vergeltung,,,"Noun, common, neuter"
253_abend,Abend,,,"Noun, common, neuter"
254_feindlich,feindlich,,,"Noun, common, masculine"
255_dasempfangen,das Empfangen,,,"Noun, common, neuter"
256_festhaltend,festhaltend,,,Adjective
258_aufnahmeannahmeerhebung,"Aufnahme, Annahme; Erhebung",,,"Noun, common, feminine"
259_verabscheuungswert,verabscheuungswert,,,Adjective
260_widersacher,Widersacher,,,"Noun, common, masculine"
261_gegnervorgericht,Gegner vor Gericht,,,"Noun, common, masculine"
262_nuchternverstandig,"nüchtern, verständig",,,Adjective
263_antlitz,Antlitz,,,"Noun, common, neuter"
264_freimutigoffen,"freimütig, offen",,,Adverb
265_offen,offen,,,Adverb
266_preis,Preis,,,"Noun, common, neuter"
267_antwort,Antwort,,,"Noun, common, neuter"
268_soldnotdurft,Sold; Notdurft,,,"Noun, common, feminine"
269_angesicht,Angesicht,,,"Noun, common, neuter"
270_amtdienst,"Amt, Dienst",,,"Noun, common, neuter"
271_etwasleisten,etwas  leisten,,,Verb
272_diener,Diener,,,"Noun, common, masculine"
273_ende,Ende,,,"Noun, common, masculine"
274_enthullungoffenbarung,"Enthüllung, Offenbarung",,,"Noun, common, feminine"
275_endlos,endlos,,,Adjective
276_anderssonst,"anders, sonst",,,Conjunction
277_andraias,Andraias,,,"Noun, proper"
278_darbietungbeistand,"Darbietung, Beistand",,,"Noun, common, neuter"
279_gegenwartangesichtperson,"Gegenwart, Angesicht, Person",,,"Noun, common, neuter"
280_gegenwartig,gegenwärtig,,,Adjective
281_anna,Anna,,,"Noun, proper"
282_annas,Annas,,,"Noun, proper"
283_sold,Sold,,,"Noun, common, feminine"
285_balken,Balken,,,"Noun, common, masculine"
286_gnadig,gnädig,,,Adjective
287_freudedankgnadegunst,"Freude; Dank; Gnade, Gunst",,,"Noun, common, feminine"
289_andererzweiter,"anderer, zweiter",,,Adjective
290_verschiedenheit,Verschiedenheit,,,"Noun, common, feminine"
291_anders,anders,,,Adverb
293_apostolat,Apostolat,,,"Noun, common, feminine"
294_apostel,Apostel,,,"Noun, common, masculine"
295_axt,Axt,,,"Noun, common, feminine"
296_aar,Aar,,,"Noun, common, masculine"
297_arabia,Arabia,,,"Noun, proper"
299_aram,Aram,,,"Noun, proper"
300_arbeitendulden,arbeiten; dulden,,,Verb
301_seineehresetzenintrachtennach,"seine Ehre setzen in, trachten nach",,,Verb
303_durcharbeiten,dúrcharbeiten,,,Verb
304_arbeitdrangsal,"Arbeit, Drangsal",,,"Noun, common, feminine"
305_daserbe,das Erbe,,,"Noun, common, neuter"
307_dererbe,der Erbe,,,"Noun, common, masculine"
308_erbin,Erbin,,,"Noun, common, feminine"
309_areimaaia,Areimaþaia,,,"Noun, proper"
310_areistarkus,Areistarkus,,,"Noun, proper"
312_pfeil,Pfeil,,,"Noun, common, feminine"
313_pflugen,pflügen,,,Verb
314_holzernerkastenarchefutteralbeutel,"hölzerner Kasten, Arche; Futteral, Beutel",,,"Noun, common, feminine"
315_erzengel,Erzengel,,,"Noun, common, masculine"
316_arkippus,Arkippus,,,"Noun, proper"
318_almosen,Almosen,,,"Noun, common, feminine"
319_barmherzig,barmherzig,,,Adjective
320_barmherzigkeit,Barmherzigkeit,,,"Noun, common, feminine"
322_sicheineserbarmen,sich eines erbarmen,,,Verb
323_armbeklagenswert,"arm, beklagenswert",,,Adjective
324_arm,Arm,,,"Noun, common, masculine"
325_sicher,sicher,,,Adverb
326_aromata,aromata,,,"Noun, common"
327_artaksairksus,[Artaksairksus],,,"Noun, proper"
328_umsonst,umsonst,,,Adverb
330_sommer,Sommer,,,"Noun, common, feminine"
333_asia,Asia,,,"Noun, proper"
334_eselsmuhle,Eselsmühle,,,"Noun, common, feminine"
335_esel,Esel,,,"Noun, common, masculine"
336_asmo,Asmoþ,,,"Noun, proper"
337_mietlingtagelohner,"Mietling, Tagelöhner",,,"Noun, common, masculine"
338_apfennig,"Aß, Pfennig",,,"Noun, common, masculine"
339_assaum,Assaum,,,"Noun, proper"
340_sicherheit,Sicherheit,,,"Noun, common"
341_ast,Ast,,,"Noun, common, masculine"
342_von,von,,,"Preposition, +AD"
345_zugang,Zugang,,,"Noun, common, neuter"
346_saat,Saat,,,"Noun, common"
347_zumessenausteilen,zum Essen austeilen,,,Verb
349_dasbeobachten,das Beobachten,,,"Noun, common, feminine"
350_aeinim,Aþeinim,,,"Noun, proper"
351_jahre,Jahre,,,"Noun, common"
352_aberdoch,aber doch,,,Conjunction
353_seligkeit,Seligkeit,,,"Noun, common, feminine"
354_seligpreisen,selig preisen,,,Verb
355_selig,selig,,,Adjective
356_begluckt,beglückt,,,Adjective
357_allerdingswohlvielleicht,allerdings; wohl; vielleicht,,,Adverb
358_fenster,Fenster,,,"Noun, common, neuter"
359_zeigen,zeigen,,,Verb
360_einemzeigen,einem  zeigen,,,Verb
361_auge,Auge,,,"Noun, common, neuter"
362_larm,Lärm,,,"Noun, common, masculine"
363_larmen,lärmen,,,Verb
364_ofen,Ofen,,,"Noun, common, masculine"
366_ochse,Ochse,,,"Noun, common, masculine"
367_hoher,höher,,,"Adjective, Comparative"
368_hochster,höchster,,,"Adjective, Superlative"
369_dennnamlich,"denn, nämlich",,,Conjunction
371_hinzufugenzu,hinzufügen zu,,,Verb
372_hinzufugen,hinzufügen,,,Verb
374_sichmehren,sich mehren,,,Verb
375_sichvermehrenzunehmen,"sich vermehren, zunehmen",,,Verb
376_auneiseifaurus,Auneiseifaurus,,,"Noun, proper"
377_aunisimus,Aunisimus,,,"Noun, proper"
378_grabdenkmalergraber,"Grabdenkmäler, Gräber",,,"Noun, common"
379_schweituch,Schweißtuch,,,"Noun, common, neuter"
380_krug,Krug,,,"Noun, common, masculine"
382_garten,Garten,,,"Noun, common, masculine"
383_landmannwinzer,"Landmann, Winzer",,,"Noun, common, masculine"
384_ohr,Ohr,,,"Noun, common, neuter"
385_wuste,Wüste,,,"Noun, common, feminine"
386_ode,öde,,,Adjective
388_schafherde,Schafherde,,,"Noun, common, neuter"
389_einemdanken,einem  danken,,,Verb
390_dank,Dank,,,"Noun, common, neuter"
391_schafstall,Schafstall,,,"Noun, common, neuter"
392_gromutter,Großmutter,,,"Noun, common, feminine"
393_axaia,Axaïa,,,<none>
394_uppiglebend,üppig lebend,,,"Noun, common"
396_asche,Asche,,,"Noun, common, feminine"
397_amtagederungesauertenbrode,am Tage der ungesäuerten Brode,,,"Noun, common"
398_wenn,wenn,,,"Conjunction, enclitic"
399_babawis,Babawis,,,"Noun, proper"
400_bett,Bett,,,"Noun, common, neuter"
401_bagauis,Bagauis,,,"Noun, proper"
402_baum,Baum,,,"Noun, common, masculine"
404_baiailzaibul,Baiailzaibul,,,"Noun, proper"
406_einenzwingen,einen  zwingen,,,Verb
407_baidsaiidan,Baidsaiïdan,,,<none>
408_bailiam,Bailiam,,,"Noun, proper"
409_bainiamein,Bainiamein,,,"Noun, proper"
410_maulbeerbaum,Maulbeerbaum,,,"Noun, common, masculine"
411_tragen,tragen ,,,Verb
413_hineinbringen,hineinbringen,,,Verb
414_vertragen,vertragen,,,Verb
415_vergleichen,vergleichen,,,Verb
416_hindurchtragen,hindurchtragen,,,Verb
418_hinaustragen,hinaustragen,,,Verb
419_beroiainthrakien,Beroia in Thrakien,,,"Noun, proper"
420_gebirgsgegend,Gebirgsgegend,,,"Noun, common, feminine"
422_einenbergenbewahren,"einen bergen, bewahren",,,Verb
423_helle,Helle,,,"Noun, common, feminine"
425_offenbaren,offenbaren,,,Verb
426_helloffenbar,"hell, offenbar",,,Adjective
427_offen,offen,,,"Adverb, Comparative"
428_bitterkeit,Bitterkeit,,,"Noun, common, feminine"
429_bitter,bitter,,,Adjective
430_baiil,Baiþil,,,"Noun, proper"
431_bailaem,[Baiþlaem],,,<none>
432_baisaidan,Baiþsaïdan,,,<none>
433_beide,beide,,,"Numeral, other"
434_schlauch,Schlauch,,,"Noun, common, masculine"
435_halsnacken,"Hals, Nacken",,,<none>
436_salbe,Salbe,,,"Noun, common, neuter"
437_kuhnfreimutig,"kühn, freimütig",,,Adverb
438_kuhnheitfreimut,"Kühnheit, Freimut",,,"Noun, common, feminine"
439_kuhnseinwagen,"kühn sein, wagen",,,Verb
440_bosheit,Bosheit,,,"Noun, common, feminine"
441_peinstrafefolter,Pein; Strafe; Folter,,,"Noun, common, feminine"
442_martern,martern,,,Verb
443_banauis,Banauis,,,"Noun, proper"
444_bandfessel,"Band, Fessel",,,"Noun, common, feminine"
445_gefangener,Gefangener,,,"Noun, common, masculine"
447_einzeicheneinenwinkgebenandeuten,"ein Zeichen, einen Wink geben, andeuten",,,Verb
448_durchwinkeandeuten,durch Winke andeuten,,,Verb
449_zeichen,Zeichen,,,"Noun, common, feminine"
450_schlagwunde,"Schlag, Wunde",,,"Noun, common, feminine"
451_scheuer,Scheuer,,,"Noun, common, masculine"
452_barabba,Barabba,,,"Noun, proper"
454_nicht,Nicht,,,"Noun, common, masculine"
455_vongerstebereitet,von Gerste bereitet,,,Adjective
456_busenscho,"Busen, Schoß",,,"Noun, common, masculine"
457_kind,Kind,,,"Noun, common, neuter"
458_barnabas,Barnabas,,,"Noun, proper"
459_kindlein,Kindlein,,,"Noun, common, neuter"
460_kindlicheswesen,kindliches Wesen,,,"Noun, common, feminine"
461_kindheit,Kindheit,,,"Noun, common, neuter"
462_kindlich,kindlich,,,Adjective
463_barteimaiaus,Barteimaiaus,,,"Noun, proper"
464_baraulaumaius,Barþaulaumaius,,,"Noun, proper"
465_frommverehren,fromm verehren,,,Verb
467_besser,besser,,,Adjective
468_batista,batista,,,"Adjective, Superlative"
469_vorteilerlangen,Vorteil erlangen,,,Verb
471_wohnung,Wohnung,,,"Noun, common, feminine"
472_wohnenbewohnen,"wohnen, bewohnen",,,Verb
473_wohnungaufschlagen,Wohnung aufschlagen,,,Verb
474_bauanairgais,Bauanairgais,,,"Noun, proper"
478_dergeborene,der Geborene,,,"Noun, common, masculine"
479_burger,Bürger,,,"Noun, common, masculine"
480_turmburgstadt,"Turm, Burg; Stadt",,,"Noun, common, feminine"
481_stadtmauer,Stadtmauer,,,"Noun, common, feminine"
482_burde,Bürde,,,"Noun, common, feminine"
484_aufetwaswarten,auf etwas warten,,,Verb
485_ausharrenertragen,"ausharren, ertragen",,,Verb
486_erwarten,erwarten,,,Verb
487_sauerteig,Sauerteig,,,"Noun, common, neuter"
488_durchsauern,durchsäuern,,,Verb
