ID,Language_ID,Headword,Part_Of_Speech
120-aipafraudeitus,Gothic,Aipafraudeitus,"Noun, proper"
121-aipiskaupei,Gothic,aipiskaupei*,"Noun, common, feminine"
122-aipiskaupus,Gothic,aipiskaupus,"Noun, common, masculine"
123-aipistaule,Gothic,aipistaule,"Noun, common"
124-air,Gothic,áir,"Adverb, temporal"
125-airis,Gothic,airis,"Adverb, Comparative"
126-airastus,Gothic,Airastus,"Noun, proper"
127-airinon,Gothic,airinon,Verb
128-airizans,Gothic,áirizans,"Adjective, Comparative"
129-airkns,Gothic,[airkns],Adjective
130-airknia,Gothic,airkniþa,"Noun, common, feminine"
131-airmodam,Gothic,Airmodam,"Noun, proper"
132-airmogaineis,Gothic,Airmogaineis,"Noun, proper"
133-aira,Gothic,airþa,"Noun, common, feminine"
134-airakunds,Gothic,airþakunds,Adjective
135-aireins,Gothic,airþeins,Adjective
136-airus,Gothic,airus,"Noun, common, masculine"
137-airzei,Gothic,airzei,"Noun, common, feminine"
138-airzeis,Gothic,airzeis*,Adjective
139-airzia,Gothic,airziþa,"Noun, common, feminine"
140-airzjan,Gothic,airzjan,Verb
141-afairzjan,Gothic,af-airzjan,Verb
142-aistan,Gothic,aistan,Verb
143-gaaistan,Gothic,ga-aistan,Verb
144-aiei,Gothic,aiþei,"Noun, common, feminine"
145-ais,Gothic,aiþs,"Noun, common, masculine"
146-aiau,Gothic,aiþþau,Conjunction
147-aiwaggeli,Gothic,aiwaggeli,"Noun, common, neuter"
148-aiwaggelista,Gothic,aiwaggelista,"Noun, common, masculine"
149-aiwaggeljan,Gothic,aiwaggeljan,Verb
150-aiwaggeljo,Gothic,aiwaggeljo,"Noun, common, feminine"
151-aiweins,Gothic,aiweins,Adjective
152-aiwiski,Gothic,aiwiski,"Noun, common, neuter"
153-aiwiskon,Gothic,aiwiskon,Verb
154-gaaiwiskon,Gothic,ga-aiwiskon,Verb
155-usaiwjan,Gothic,us-aiwjan,Verb
156-aiwlaugia,Gothic,aiwlaugia,"Noun, common, masculine"
157-aiwneikai,Gothic,Aiwneikai,"Noun, proper"
158-aiws,Gothic,aiws,"Noun, common, masculine"
159-aiwwa,Gothic,Aiwwa,"Noun, proper"
160-aiwxaristia,Gothic,aiwxaristia,"Noun, common"
161-aiz,Gothic,aiz,"Noun, common, neuter"
162-aizaikeia,Gothic,Aizaikeia,"Noun, proper"
163-aizasmia,Gothic,aizasmiþa,"Noun, common, masculine"
164-aizleim,Gothic,Aizleim,"Noun, proper"
165-aizor,Gothic,Aizor,"Noun, proper"
166-ajukdus,Gothic,ajukdūþs*,"Noun, common, feminine"
167-ak,Gothic,ak,Conjunction
168-akaja,Gothic,Akaja,"Noun, proper"
169-akajus,Gothic,Akajus*,"Noun, proper"
170-akaikus,Gothic,Akaïkus,"Noun, proper"
171-akei,Gothic,akei,Conjunction
172-aket,Gothic,aket*,"Noun, common"
173-akran,Gothic,akran,"Noun, common, neuter"
174-akranalaus,Gothic,akranalaus,Adjective
175-akrs,Gothic,akrs,"Noun, common, masculine"
176-akwla,Gothic,Akwla,"Noun, proper"
177-alabalstraun,Gothic,alabalstraun,"Noun, common"
178-alabrunsts,Gothic,alabrunsts,"Noun, common, feminine"
179-alaiksandrus,Gothic,Alaiksandrus,"Noun, proper"
180-alakjo,Gothic,alakjo,Adverb
181-alamans,Gothic,alamans*,"Noun, common, masculine"
182-alamannans,Gothic,alamannans*,<none>
183-alamod,Gothic,Alamod,"Noun, proper"
184-alan,Gothic,alan,Verb
185-alaarba,Gothic,alaþarba,Adjective
