ID,Language_ID,Headword,Part_Of_Speech
528-biuhti,Gothic,biuhti,"Noun, common, neuter"
529-biuhts,Gothic,biuhts,Adjective
530-bius,Gothic,biuþs*,"Noun, common, masculine"
531-blandan,Gothic,blandan,Verb
532-blaujan,Gothic,blauþjan,Verb
533-gablaujan,Gothic,ga-blauþjan,Verb
534-bleiei,Gothic,bleiþei,"Noun, common, feminine"
535-bleijan,Gothic,bleiþjan,Verb
536-gableijan,Gothic,ga-bleiþjan,Verb
537-bleis,Gothic,bleiþs,Adjective
538-ufblesan,Gothic,uf-blesan,Verb
539-bliggwan,Gothic,bliggwan,Verb
540-usbliggwan,Gothic,us-bliggwan,Verb
541-gablindjan,Gothic,ga-blindjan,Verb
542-afblindnan,Gothic,af-blindnan,Verb
543-blinds,Gothic,blinds,Adjective
544-bloma,Gothic,bloma*,"Noun, common, masculine"
545-blotan,Gothic,blotan,Verb
546-blotinassus,Gothic,blotinassus,"Noun, common, masculine"
547-blo,Gothic,bloþ,"Noun, common, neuter"
548-bloarinnandei,Gothic,bloþarinnandei,"Participle, present"
549-bnauan,Gothic,bnauan,Verb
550-boka,Gothic,boka,"Noun, common, feminine"
551-bokareis,Gothic,bokareis,"Noun, common, masculine"
552-bota,Gothic,bota,"Noun, common, feminine"
553-botjan,Gothic,botjan,Verb
554-gabotjan,Gothic,ga-botjan,Verb
555-braa,Gothic,braƕa,"Noun, common"
556-braidei,Gothic,braidei,"Noun, common, feminine"
557-usbraidjan,Gothic,us-braidjan,Verb
558-brais,Gothic,braiþs,Adjective
559-brakja,Gothic,brakja,"Noun, common, feminine"
560-gabrannjan,Gothic,ga-brannjan,Verb
561-inbrannjan,Gothic,in-brannjan,Verb
562-briggan,Gothic,briggan,Verb
563-brikan,Gothic,brikan,Verb
564-gabrikan,Gothic,ga-brikan,Verb
565-ufbrikan,Gothic,uf-brikan,Verb
566-brinnan,Gothic,brinnan,Verb
567-ufbrinnan,Gothic,uf-brinnan,Verb
568-brinno,Gothic,brinno,"Noun, common, feminine"
569-broar,Gothic,broþar,"Noun, common, masculine"
570-brorahans,Gothic,broþrahans,"Noun, common, masculine"
571-brorulubo,Gothic,broþrulubo,"Noun, common, feminine"
572-brukjan,Gothic,brūkjan,Verb
573-usbruknan,Gothic,us-bruknan,Verb
574-bruks,Gothic,brūks,Adjective
575-brunjo,Gothic,brunjo,"Noun, common, feminine"
576-brunna,Gothic,brunna,"Noun, common, masculine"
577-brusts,Gothic,brusts,"Noun, common, feminine"
578-brufas,Gothic,brūþfaþs,"Noun, common, masculine"
579-brus,Gothic,brūþs,"Noun, common, feminine"
580-bugjan,Gothic,bugjan,Verb
581-frabugjan,Gothic,fra-bugjan,Verb
582-usbugjan,Gothic,us-bugjan,Verb
583-andbundnan,Gothic,and-bundnan,Verb
584-bwssaun,Gothic,bwssaun,"Noun, common"
585-gadaban,Gothic,ga-daban,Verb
586-daddjan,Gothic,daddjan,Verb
587-dags,Gothic,dags,"Noun, common, masculine"
588-daigs,Gothic,daigs,"Noun, common, masculine"
589-daikapaulis,Gothic,Daikapaulis*,"Noun, proper"
590-daila,Gothic,daila,"Noun, common, feminine"
591-dailjan,Gothic,dailjan,Verb
592-afdailjan,Gothic,af-dailjan,Verb
593-disdailjan,Gothic,dis-dailjan,Verb
594-fradailjan,Gothic,fra-dailjan,Verb
595-gadailjan,Gothic,ga-dailjan,Verb
596-dails,Gothic,dails,"Noun, common, feminine"
597-daimonareis,Gothic,daimonareis,"Noun, common, masculine"
598-dals,Gothic,dals*,"Noun, common, masculine"
599-dala,Gothic,dalaþ,"Adverb, directional"
600-dalaa,Gothic,dalaþa,"Adverb, locative"
601-dalaro,Gothic,dalaþro,"Adverb, directional"
602-dalmatia,Gothic,Dalmatia,"Noun, proper"
603-damaskon,Gothic,Damaskon,"Noun, proper"
604-faurdammjan,Gothic,faur-dammjan,Verb
605-daubei,Gothic,daubei,"Noun, common, feminine"
606-daubia,Gothic,daubiþa,"Noun, common, feminine"
607-gadaubjan,Gothic,ga-daubjan,Verb
608-afdaubnan,Gothic,af-daubnan,Verb
609-usdaudjan,Gothic,us-daudjan,Verb
610-daufs,Gothic,daufs,Adjective
611-dauhtar,Gothic,dauhtar,"Noun, common, feminine"
612-dauhts,Gothic,dauhts,"Noun, common, feminine"
613-afdauis,Gothic,af-dauiþs*,<none>
614-dauns,Gothic,dauns,"Noun, common, feminine"
615-daupeins,Gothic,daupeins,"Noun, common, feminine"
616-daupjan,Gothic,daupjan,Verb
617-ufdaupjan,Gothic,uf-daupjan,Verb
618-daupjands,Gothic,daupjands,"Noun, common, masculine"
619-daur,Gothic,daur,"Noun, common, neuter"
620-daurawarda,Gothic,daurawarda,"Noun, common, feminine"
621-daurawardo,Gothic,daurawardo,"Noun, common, feminine"
622-daurawards,Gothic,daurawards,"Noun, common, masculine"
623-dauriaius,Gothic,Dauriþaius*,"Noun, proper"
624-daurons,Gothic,daurons,"Noun, common, feminine"
625-gadaursan,Gothic,ga-daursan,Verb
626-daueins,Gothic,dauþeins,"Noun, common, feminine"
627-daujan,Gothic,dauþjan,Verb
628-afdaujan,Gothic,af-dauþjan,Verb
629-gadaujan,Gothic,ga-dauþjan,Verb
630-gadaunan,Gothic,ga-dauþnan,Verb
631-migadaunan,Gothic,miþ-gadauþnan,Verb
632-daus,Gothic,dauþs,Adjective
633-dauubleis,Gothic,dauþubleis*,Adjective
634-dauus,Gothic,dauþus,"Noun, common, masculine"
635-daweid,Gothic,Daweid,"Noun, proper"
636-demas,Gothic,Demas,"Noun, proper"
637-diabula,Gothic,diabula,"Noun, common, feminine"
638-diabaulus,Gothic,diabaulus,"Noun, common, masculine"
639-diabulus,Gothic,diabulus,<none>
640-diakaunus,Gothic,diakaunus,"Noun, common, masculine"
641-didimus,Gothic,Didimus,"Noun, proper"
642-digan,Gothic,digan,Verb
643-gadigan,Gothic,ga-digan,Verb
644-digrei,Gothic,digrei,"Noun, common, feminine"
645-distaheins,Gothic,distaheins*,"Noun, common, feminine"
646-diswiss,Gothic,diswiss,"Noun, common, feminine"
647-diupei,Gothic,diupei,"Noun, common, feminine"
648-diupia,Gothic,diupiþa,"Noun, common, feminine"
649-gadiupjan,Gothic,ga-diupjan,Verb
650-diups,Gothic,diups,Adjective
651-dius,Gothic,dius*,"Noun, common, neuter"
652-diwan,Gothic,diwan,Verb
653-afdobnan,Gothic,af-dobnan,Verb
654-afdojan,Gothic,af-dojan*,<none>
655-domjan,Gothic,domjan,Verb
656-afdomjan,Gothic,af-domjan,Verb
657-bidomjan,Gothic,bi-domjan,Verb
658-gadomjan,Gothic,ga-domjan,Verb
659-doms,Gothic,doms*,"Noun, common, masculine"
660-gadraban,Gothic,ga-draban,Verb
661-dragan,Gothic,†dragan,Verb
662-gadragan,Gothic,ga-dragan,Verb
663-dragk,Gothic,dragk,"Noun, common, neuter"
664-dragkjan,Gothic,dragkjan,Verb
665-gadragkjan,Gothic,ga-dragkjan,Verb
666-draibjan,Gothic,draibjan,Verb
667-drakma,Gothic,drakma*,"Noun, common, masculine"
668-drauhsnos,Gothic,drauhsnos,"Noun, common, feminine"
669-drauhtinassus,Gothic,drauhtinassus,"Noun, common, masculine"
670-drauhtinon,Gothic,drauhtinon,Verb
671-drauhtiwito,Gothic,drauhtiwitoþ,"Noun, common, neuter"
672-afdrausjan,Gothic,af-drausjan,Verb
673-gadrausjan,Gothic,ga-drausjan,Verb
674-drausnos,Gothic,drausnos,<none>
675-dreiban,Gothic,dreiban,Verb
676-usdreiban,Gothic,us-dreiban,Verb
677-drigkan,Gothic,drigkan,Verb
678-anadrigkan,Gothic,ana-drigkan,Verb
679-gadrigkan,Gothic,ga-drigkan,Verb
680-driugan,Gothic,driugan,Verb
681-driusan,Gothic,driusan,Verb
682-atdriusan,Gothic,at-driusan,Verb
683-disdriusan,Gothic,dis-driusan,Verb
684-gadriusan,Gothic,ga-driusan,Verb
685-usdriusan,Gothic,us-driusan,Verb
686-driuso,Gothic,driuso,"Noun, common, feminine"
687-drobjan,Gothic,drobjan,Verb
688-drobna,Gothic,drobna,"Noun, common, masculine"
689-drobnan,Gothic,drobnan,Verb
690-gadrobnan,Gothic,ga-drobnan,Verb
691-indrobnan,Gothic,in-drobnan,Verb
692-drugkanei,Gothic,drugkanei,"Noun, common, feminine"
693-drunjus,Gothic,drunjus,"Noun, common, masculine"
694-drus,Gothic,drus,"Noun, common, masculine"
695-du,Gothic,du,Adverb
696-dugan,Gothic,dugan*,Verb
697-due,Gothic,duƕe,Adverb
698-dulgahaitja,Gothic,dulgahaitja,"Noun, common, masculine"
699-dulgis,Gothic,dulgis,"Noun, common"
700-duljan,Gothic,dulþjan,Verb
701-duls,Gothic,dulþs,"Noun, common, feminine"
702-afdumbnan,Gothic,af-dumbnan,Verb
703-dumbs,Gothic,dumbs,Adjective
704-due,Gothic,duþe,Unassigned
705-dwalawaurdei,Gothic,dwalawaurdei,"Noun, common, feminine"
706-dwalia,Gothic,dwaliþa,"Noun, common, feminine"
707-dwalmon,Gothic,dwalmon,Verb
708-dwals,Gothic,dwals,Adjective
709-eeiram,Gothic,Eeiram,"Noun, proper"
710-ei,Gothic,ei,Particle
711-eiaireiko,Gothic,Eiaireiko,"Noun, proper"
712-eikaunion,Gothic,Eikaunion,"Noun, proper"
713-eisarn,Gothic,eisarn,"Noun, common, neuter"
714-eisarnabandi,Gothic,eisarnabandi,"Noun, common, feminine"
715-eisarneins,Gothic,eisarneins,Adjective
716-eian,Gothic,eiþan,Conjunction
717-eiau,Gothic,†eiþau,Unassigned
718-esaias,Gothic,Esaïas,"Noun, proper"
719-esaw,Gothic,Esaw,"Noun, proper"
720-fadar,Gothic,fadar,"Noun, common, masculine"
721-faddasur,Gothic,[Faddasur],"Noun, proper"
722-fadrein,Gothic,fadrein,"Noun, common, neuter"
723-fadreins,Gothic,fadreins,"Noun, common, feminine"
724-faginon,Gothic,faginon,Verb
725-mifaginon,Gothic,miþ-faginon,Verb
726-fagrs,Gothic,fagrs*,Adjective
727-fahan,Gothic,fāhan,Verb
728-gafahan,Gothic,ga-fahan,Verb
729-fahes,Gothic,faheþs,"Noun, common, feminine"
730-fullafahjan,Gothic,fulla-fahjan,Verb
731-gafahrjan,Gothic,ga-fahrjan,Verb
732-faian,Gothic,faian,Verb
733-bifaihon,Gothic,bi-faihon,Verb
734-gafaihon,Gothic,ga-faihon,Verb
735-faihu,Gothic,faihu,"Noun, common, neuter"
736-faihufrikei,Gothic,faihufrikei,"Noun, common, feminine"
737-faihufriks,Gothic,faihufriks,Adjective
738-faihugairnei,Gothic,faihugairnei,"Noun, common, feminine"
739-faihugairns,Gothic,faihugairns,Adjective
740-faihugawaurki,Gothic,faihugawaurki,"Noun, common, neuter"
741-faihugeiro,Gothic,faihugeiro,"Noun, common, feminine"
742-faihuskula,Gothic,faihuskula,"Noun, common, masculine"
743-faihuraihna,Gothic,faihuþraihna,"Noun, common"
744-fairguni,Gothic,fairguni,"Noun, common, neuter"
745-waifairjan,Gothic,wai-fairƕjan,Verb
746-fairus,Gothic,fairƕus,"Noun, common, masculine"
747-fairina,Gothic,fairina,"Noun, common, feminine"
748-fairinon,Gothic,fairinon,Verb
749-fairneis,Gothic,fairneis*,Adjective
750-fairnia,Gothic,fairniþa,"Noun, common, feminine"
751-fairns,Gothic,fairns*,Adjective
752-fairra,Gothic,fairra,"Adverb, locative"
753-fairraro,Gothic,fairraþro,"Adverb, directional"
754-fairweitl,Gothic,fairweitl,"Noun, common, neuter"
755-fairzna,Gothic,fairzna,"Noun, common, feminine"
756-falaig,Gothic,Falaig,"Noun, proper"
757-fallasur,Gothic,†Fallasur,<none>
758-falan,Gothic,falþan,Verb
759-fana,Gothic,fana,"Noun, common, masculine"
760-fani,Gothic,fani,"Noun, common, neuter"
761-fanuel,Gothic,Fanuel,"Noun, proper"
762-farais,Gothic,Farais*,"Noun, proper"
763-faran,Gothic,faran,Verb
764-farao,Gothic,Farao*,"Noun, proper"
765-fareisaius,Gothic,Fareisaius,"Noun, proper"
766-farjan,Gothic,farjan,Verb
767-atfarjan,Gothic,at-farjan,Verb
768-faskja,Gothic,fāskja*,"Noun, common"
769-fastan,Gothic,fastan,Verb
770-gafastan,Gothic,ga-fastan,Verb
771-fastubni,Gothic,fastubni,"Noun, common, neuter"
772-faa,Gothic,faþa,"Noun, common, feminine"
773-fauho,Gothic,fauho,"Noun, common, feminine"
774-faur,Gothic,faur,Adverb
775-faura,Gothic,faura,Adverb
776-fauradauri,Gothic,fauradauri,"Noun, common, neuter"
777-faurafilli,Gothic,faurafilli,"Noun, common, neuter"
778-fauragagga,Gothic,fauragagga*,"Noun, common, masculine"
779-fauragaggi,Gothic,fauragaggi,"Noun, common, neuter"
780-fauragaggja,Gothic,fauragaggja,"Noun, common, masculine"
781-faurahah,Gothic,faurahāh,"Noun, common, neuter"
782-fauramaleis,Gothic,fauramaþleis,"Noun, common, masculine"
783-fauramali,Gothic,fauramaþli,"Noun, common, neuter"
784-fauratani,Gothic,fauratani,"Noun, common, neuter"
785-faurbauhts,Gothic,faurbauhts,"Noun, common, feminine"
786-faurdomeins,Gothic,faurdomeins,"Noun, common, feminine"
787-faurhah,Gothic,faurhāh,"Noun, common, neuter"
788-faurhtei,Gothic,faurhtei,"Noun, common, feminine"
789-faurhtjan,Gothic,faurhtjan,Verb
790-faurhts,Gothic,faurhts,Adjective
791-faurlageins,Gothic,faurlageins,"Noun, common, feminine"
792-faurstasseis,Gothic,faurstasseis*,"Noun, common, masculine"
793-faurtunatus,Gothic,Faurtunatus,"Noun, proper"
794-fauris,Gothic,faurþis,Adverb
795-faurizei,Gothic,faurþizei,Conjunction
796-fawai,Gothic,fawai*,Adjective
797-infeinan,Gothic,in-feinan,Verb
798-fera,Gothic,fera,"Noun, common, feminine"
799-ferja,Gothic,ferja*,"Noun, common, masculine"
800-fetjan,Gothic,fetjan,Verb
801-fian,Gothic,fian,<none>
802-fidurdogs,Gothic,fidurdogs,Adjective
803-fidurfals,Gothic,fidurfalþs,Adjective
804-fidurragini,Gothic,fidurragini,"Noun, common, neuter"
805-fidwor,Gothic,fidwor,"Numeral, cardinal"
806-fidwortaihun,Gothic,fidwortaihun,"Numeral, cardinal"
807-figgragul,Gothic,figgragulþ,"Noun, common, neuter"
808-figgrs,Gothic,figgrs,"Noun, common, masculine"
809-fijan,Gothic,fijan,Verb
810-fijands,Gothic,fijands,"Noun, common, masculine"
811-fijawa,Gothic,fijaþwa,"Noun, common, feminine"
812-filaus,Gothic,filaus,Adverb
813-filegri,Gothic,filegri,<none>
814-filetus,Gothic,Filetus,"Noun, proper"
815-filhan,Gothic,filhan,Verb
816-affilhan,Gothic,af-filhan,Verb
817-anafilhan,Gothic,ana-filhan,Verb
818-gafilhan,Gothic,ga-filhan,Verb
819-usfilhan,Gothic,us-filhan,Verb
820-filigri,Gothic,filigri*,"Noun, common, neuter"
821-filippai,Gothic,Filippai,"Noun, proper"
822-filippisius,Gothic,Filippisius,"Noun, proper"
823-filippus,Gothic,Filippus,"Noun, proper"
824-filleins,Gothic,filleins,Adjective
825-filu,Gothic,filu,Unassigned
826-filudeisei,Gothic,filudeisei,"Noun, common, feminine"
827-filufaihs,Gothic,filufáihs,Adjective
828-filugalaufs,Gothic,filugalaufs*,Adjective
829-filusna,Gothic,filusna,"Noun, common, feminine"
830-filuwaurdei,Gothic,filuwaurdei,"Noun, common, feminine"
831-filuwaurdjan,Gothic,filu-waurdjan,<none>
832-fimf,Gothic,fimf,"Numeral, cardinal"
833-fimftaihun,Gothic,fimftaihun,"Numeral, cardinal"
834-fimftataihunda,Gothic,fimftataihunda,"Numeral, ordinal"
835-finan,Gothic,finþan,Verb
836-fiskja,Gothic,fiskja,"Noun, common, masculine"
837-fiskon,Gothic,fiskon,Verb
838-fisks,Gothic,fisks,"Noun, common, masculine"
839-fitan,Gothic,fitan,Verb
840-flahtom,Gothic,flahtom,"Noun, common"
841-usflaugjan,Gothic,[us-flaugjan],Verb
842-flautjan,Gothic,flautjan,Verb
843-flauts,Gothic,flauts,Adjective
844-flodus,Gothic,flodus,"Noun, common"
845-flokan,Gothic,flokan*,Verb
846-fodeins,Gothic,fodeins,"Noun, common, feminine"
847-fodjan,Gothic,fodjan,Verb
848-fodr,Gothic,fodr,"Noun, common, neuter"
849-fon,Gothic,fon,"Noun, common, neuter"
850-fotubandi,Gothic,fotubandi,"Noun, common, feminine"
851-fotubaurd,Gothic,fotubaurd,"Noun, common, neuter"
852-fotus,Gothic,fotus,"Noun, common, masculine"
853-frabauhtaboka,Gothic,frabauhtaboka,"Noun, common, feminine"
854-fragan,Gothic,fragan,Verb
855-fragifts,Gothic,fragifts,"Noun, common, feminine"
856-fraihnan,Gothic,fraihnan,Verb
857-gafraihnan,Gothic,ga-fraihnan,Verb
858-fraisan,Gothic,fraisan,Verb
859-usfraisan,Gothic,us-fraisan,Verb
860-fraistubni,Gothic,fraistubni,"Noun, common, feminine"
861-fraiw,Gothic,fraiw,"Noun, common, neuter"
862-fralet,Gothic,fralet*,"Noun, common, neuter"
863-fralets,Gothic,fralets,"Noun, common, masculine"
864-fralusts,Gothic,fralusts,"Noun, common, feminine"
865-fram,Gothic,fram,Adverb
866-framaldrs,Gothic,framaldrs,Adjective
867-framaeis,Gothic,framaþeis*,Adjective
868-framajan,Gothic,framaþjan,Verb
869-framgahts,Gothic,framgāhts*,"Noun, common, feminine"
870-framis,Gothic,framis,Adverb
871-framwairis,Gothic,framwairþis,Adverb
872-framwigis,Gothic,framwigis,Adverb
873-fraqisteins,Gothic,[fraqisteins],"Noun, common, feminine"
874-frastisibja,Gothic,frastisibja,"Noun, common, feminine"
875-frasts,Gothic,frasts,"Noun, common"
876-usfratwjan,Gothic,us-fratwjan,Verb
877-frai,Gothic,fraþi,"Noun, common, neuter"
878-frajamarzeins,Gothic,fraþjamarzeins,"Noun, common, feminine"
879-frajan,Gothic,fraþjan,Verb
880-fullafrajan,Gothic,fulla-fraþjan,Verb
881-frauja,Gothic,frauja,"Noun, common, masculine"
882-fraujinassus,Gothic,fraujinassus,"Noun, common, masculine"
883-fraujinon,Gothic,fraujinon,Verb
884-gafraujinon,Gothic,ga-fraujinon,Verb
885-fraujinonds,Gothic,fraujinonds,"Noun, common, masculine"
886-frawardeins,Gothic,frawardeins*,"Noun, common, feminine"
887-frawaurhts,Gothic,frawaurhts,Adjective
888-frawaurhts,Gothic,frawaurhts,"Noun, common, feminine"
889-fraweit,Gothic,fraweit,"Noun, common, neuter"
890-freidjan,Gothic,freidjan,Verb
891-freihals,Gothic,freihals,"Noun, common, masculine"
892-freis,Gothic,freis,Adjective
893-friawamildjai,Gothic,friaþwamildjai,Adjective
894-frijawa,Gothic,frijaþwa,"Noun, common, feminine"
895-frijei,Gothic,frijei,"Noun, common, feminine"
896-frijon,Gothic,frijon,Verb
897-frijondi,Gothic,frijondi,"Noun, common, feminine"
898-frijonds,Gothic,frijonds,"Noun, common, masculine"
899-frijons,Gothic,frijons,"Noun, common, feminine"
900-gafrisahtjan,Gothic,ga-frisahtjan,Verb
901-gafrisahtnan,Gothic,ga-frisahtnan,Verb
902-frisahts,Gothic,frisahts,"Noun, common, feminine"
903-friareikeis,Gothic,[Friþareikeis],"Noun, proper"
904-gafrion,Gothic,ga-friþon,Verb
905-friusa,Gothic,friusa,"Noun, common"
906-frodei,Gothic,frodei,"Noun, common, feminine"
907-fros,Gothic,froþs,Adjective
908-fruma,Gothic,fruma,"Adjective, Comparative"
909-frumabaur,Gothic,frumabaur,"Noun, common, masculine"
910-frumadei,Gothic,frumadei,"Noun, common, feminine"
911-frumisti,Gothic,frumisti,"Noun, common, neuter"
912-frumists,Gothic,frumists,"Adjective, Superlative"
913-frumist,Gothic,frumist,"Adverb, temporal"
914-fugls,Gothic,fugls,"Noun, common, masculine"
915-fula,Gothic,fula,"Noun, common, masculine"
916-fulgins,Gothic,fulgins,Adjective
917-fulhsni,Gothic,fulhsni,"Noun, common, neuter"
918-fullafahjan,Gothic,fulla-fahjan,<none>
919-fullafrajan,Gothic,fulla-fraþjan,<none>
920-fullatojis,Gothic,fullatojis,Adjective
921-fullaweis,Gothic,fullaweis,Adjective
922-fullaweisjan,Gothic,fulla-weisjan,<none>
923-fullawita,Gothic,fullawita,"Noun, common, masculine"
924-fullei,Gothic,full[e]iþ,"Noun, common"
925-fulljan,Gothic,fulljan,Verb
926-gafulljan,Gothic,ga-fulljan,Verb
927-ufarfulljan,Gothic,ufar-fulljan,Verb
928-usfulljan,Gothic,us-fulljan,Verb
929-fullnan,Gothic,fullnan,Verb
930-gafullnan,Gothic,ga-fullnan,Verb
931-usfullnan,Gothic,us-fullnan,Verb
932-fullo,Gothic,fullo,"Noun, common, feminine"
933-fulls,Gothic,fulls,Adjective
934-fuls,Gothic,fūls,Adjective
935-funinsfunin,Gothic,"funins, funin",<none>
936-funisks,Gothic,funisks,Adjective
937-fwgailus,Gothic,Fwgailus,"Noun, proper"
938-fwnikisks,Gothic,fwnikisks,Adjective
939-gaaggwei,Gothic,gaaggwei,"Noun, common, feminine"
940-gaarbja,Gothic,gaarbja,"Noun, common, masculine"
941-gabaa,Gothic,Gabaa,"Noun, proper"
942-gabair,Gothic,Gabair,"Noun, proper"
943-gabairhteins,Gothic,gabairhteins,"Noun, common, feminine"
944-gabaur,Gothic,gabaur,"Noun, common, neuter"
945-gabaur,Gothic,gabaur*,"Noun, common, masculine"
946-gabaurgja,Gothic,gabaurgja,"Noun, common, masculine"
947-gabaurjaba,Gothic,gabaurjaba,Adverb
948-gabaurjous,Gothic,gabaurjoþus,"Noun, common, masculine"
949-gabauriwaurd,Gothic,gabaurþiwaurd,"Noun, common, neuter"
950-gabaurs,Gothic,gabaurþs,"Noun, common, feminine"
951-gabei,Gothic,gabei,"Noun, common, feminine"
952-gabeigs,Gothic,gabeigs,<none>
953-gabigjan,Gothic,gabigjan,Verb
954-gabignan,Gothic,gabignan,Verb
955-gabigs,Gothic,gabigs,Adjective
956-gabigaba,Gothic,gabigaba,"Adverb, Comparative"
957-gabinda,Gothic,gabinda,"Noun, common, feminine"
958-gabindi,Gothic,gabindi,"Noun, common, feminine"
959-gableieins,Gothic,gableiþeins,"Noun, common, feminine"
960-gabriel,Gothic,Gabriel,"Noun, proper"
961-gabruka,Gothic,gabruka,"Noun, common, feminine"
962-gabundi,Gothic,gabundi,"Noun, common, feminine"
963-gadaila,Gothic,gadaila,"Noun, common, masculine"
964-gadauka,Gothic,gadauka*,"Noun, common, masculine"
965-gaddarenus,Gothic,Gaddarenus*,"Noun, proper"
966-gades,Gothic,gadeþs*,"Noun, common, feminine"
967-gadigis,Gothic,[gadigis],"Noun, common, neuter"
968-gadiliggs,Gothic,gadiliggs,"Noun, common, masculine"
969-gadofs,Gothic,ga-dofs*,Adjective
970-gadrauhts,Gothic,gadrauhts,"Noun, common, masculine"
971-gafah,Gothic,gafāh*,"Noun, common, neuter"
972-gafaurds,Gothic,gafaurds,"Noun, common, feminine"
973-gafaurs,Gothic,gafaurs,Adjective
974-gafehaba,Gothic,gafehaba,Adverb
975-gafeteins,Gothic,gafeteins,"Noun, common, feminine"
976-gafilh,Gothic,gafilh*,"Noun, common, neuter"
977-gafrajei,Gothic,gafraþjei,"Noun, common, feminine"
978-gafreideins,Gothic,gafreideins,"Noun, common, feminine"
979-gafrijons,Gothic,gafrijons,"Noun, common, feminine"
980-gafrions,Gothic,gafriþons,"Noun, common, feminine"
981-gafulgins,Gothic,gafulgins,Adjective
982-gagg,Gothic,gagg*,"Noun, common, neuter"
983-gaggan,Gothic,gaggan,Verb
984-afgaggan,Gothic,af-gaggan,Verb
985-afargaggan,Gothic,afar-gaggan,Verb
986-anagaggan,Gothic,ana-gaggan,Verb
987-atgaggan,Gothic,at-gaggan,Verb
988-duatgaggan,Gothic,du-atgaggan,Verb
989-innatgaggan,Gothic,inn-atgaggan,Verb
990-faurgaggan,Gothic,faur-gaggan,Verb
991-faurbigaggan,Gothic,faur-bigaggan,Verb
992-fauragaggan,Gothic,faura-gaggan,Verb
993-gagaggan,Gothic,ga-gaggan,Verb
994-inngaggan,Gothic,inn-gaggan,Verb
995-migaggan,Gothic,miþ-gaggan,Verb
996-airhgaggan,Gothic,þairh-gaggan,Verb
997-ufargaggan,Gothic,ufar-gaggan,Verb
998-usgaggan,Gothic,us-gaggan,Verb
999-utgaggan,Gothic,ūt-gaggan,Verb
1000-wiragaggan,Gothic,wiþra-gaggan,Verb
1001-gagrefts,Gothic,gagrefts,"Noun, common, feminine"
1002-gagudei,Gothic,gagudei,"Noun, common, feminine"
1003-gagus,Gothic,gaguþs*,Adjective
1004-gagudaba,Gothic,gagudaba,"Adverb, Comparative"
1005-gahahjo,Gothic,gahāhjo,Adverb
1006-gahails,Gothic,gahails,Adjective
1007-gahait,Gothic,gahait,"Noun, common, neuter"
1008-gahauseins,Gothic,gahauseins,"Noun, common, feminine"
1009-gahlaiba,Gothic,gahlaiba,"Noun, common, masculine"
1010-gahlaifs,Gothic,gahlaifs*,Adjective
1011-gahnipnan,Gothic,[ga-hnipnan],Verb
1012-gahobains,Gothic,gahobains,"Noun, common, feminine"
1013-gahraineins,Gothic,gahraineins,"Noun, common, feminine"
1014-gahugds,Gothic,gahugds,"Noun, common, feminine"
1015-gaairbs,Gothic,gaƕairbs,Adjective
1016-gaeilains,Gothic,gaƕeilains,"Noun, common, feminine"
1017-gaiainna,Gothic,gaiainna,"Noun, common"
1018-gaidw,Gothic,gaidw*,"Noun, common, neuter"
1019-gailjan,Gothic,gailjan,Verb
1020-gainnesarai,Gothic,Gainnesaraiþ,"Noun, proper"
1021-gairda,Gothic,gairda,"Noun, common, feminine"
1022-bigairdan,Gothic,bi-gairdan,Verb
1023-ufgairdan,Gothic,uf-gairdan,Verb
1024-gairgaisainus,Gothic,Gairgaisainus*,"Noun, proper"
1025-gairnei,Gothic,gairnei,"Noun, common, feminine"
1026-gairnjan,Gothic,gairnjan,Verb
1027-gairuni,Gothic,gairuni*,"Noun, common, neuter"
1028-usgaisjan,Gothic,us-gaisjan,Verb
1029-gaitein,Gothic,gaitein*,"Noun, common, neuter"
1030-gaits,Gothic,gaits,"Noun, common, feminine"
1031-gaius,Gothic,Gaïus,"Noun, proper"
1032-gajuk,Gothic,gajuk,"Noun, common, neuter"
1033-gajuka,Gothic,gajuka,"Noun, common, masculine"
1034-gajuko,Gothic,gajuko,"Noun, common, feminine"
1035-gakunds,Gothic,gakunds,"Noun, common, feminine"
1036-gakuns,Gothic,gakunþs,"Noun, common, feminine"
1037-gakusts,Gothic,gakusts,"Noun, common, feminine"
1038-galaista,Gothic,galaista,"Noun, common, masculine"
1039-galateis,Gothic,Galateis,"Noun, proper"
1040-galatia,Gothic,Galatia*,"Noun, proper"
1041-galaubeins,Gothic,galaubeins,Adjective
1042-galaubeins,Gothic,galaubeins,"Noun, common, feminine"
1043-galaufs,Gothic,galaufs*,Adjective
1044-galeika,Gothic,galeika*,"Noun, common, masculine"
1045-galeiki,Gothic,galeiki*,"Noun, common, neuter"
1046-galeiks,Gothic,galeiks,Adjective
1047-galeiko,Gothic,galeiko,"Adverb, Comparative"
1048-galeilaia,Gothic,Galeilaia,"Noun, proper"
1049-galeilaius,Gothic,Galeilaius,"Noun, proper"
1050-galga,Gothic,galga,"Noun, common, masculine"
1051-galigri,Gothic,galigri,"Noun, common, neuter"
1052-galiug,Gothic,galiug,"Noun, common, neuter"
1053-galiugaapaustaulus,Gothic,galiugaapaustaulus,"Noun, common, masculine"
1054-galiugabroar,Gothic,galiugabroþar,"Noun, common, masculine"
1055-galiugagu,Gothic,galiugaguþ,"Noun, common, neuter"
1056-galiugapraufetus,Gothic,galiugapraufetus*,"Noun, common, masculine"
