Grapheme	IPA
andahafts	andahaɸts
andahait	andahɛt
andalauni	andalɔnɪ
andanahti	andanahtɪ
andaneiþa	andaniθa
andanem	andanem
andanemeigs	andanemiɣs
andanems	andanems
andanumts	andanumts
andasets	andasets
andastaþjis	andastaθjɪs
andastaua	andastɔa
andaþāhts	andaθahts
andaugi	andɔɣɪ
andaugiba	andɔɣɪβa
andaugjo	andɔɣjo
andawairþi	andawɛrθɪ
andawaurdi	andawɔrdɪ
andawizns	andawɪzn̥s
andawleizn	andawlizn̥
andbahti	andbahtɪ
andbahtjan	andbahtjan
andbahts	andbahts
andeis	andis
andhuleins	andhulins
andilaus	andɪlɔs
andizuh	andɪzuh
Andraias	andrɛas
andstald	andstald
andwairþi	andwɛrθɪ
andwairþs	andwɛrθs
Anna	anːa
Annas	anːas
anno	anːo
Ano	ano
ans	ans
ansteigs	anstiɣs
ansts	ansts
Antiaukia	antɪɔkɪa
anþar	anθar
anþarleikei	anθarliki
anþarleiko	anθarliko
Appaullo	apːɔlːo
apaustaulei	apɔstɔli
apaustaulus	apɔstɔlus
aqizi	akʷɪzɪ
ara	ara
Arabia	araβɪa
Araita	arɛta
Aram	aram
arbaidjan	arbɛðjan
biarbaidjan	bɪarbɛðjan
miþarbaidjan	mɪθarbɛðjan
þairharbaidjan	θɛrharbɛðjan
arbaiþs	arbɛθs
arbi	arbɪ
arbinumja	arbɪnumja
arbja	arbja
arbjo	arbjo
Areimaþaia	arimaθɛa
Areistarkus	aristarkus
Arfaksad	arɸaksað
arƕazna	arʍazna
arjan	arjan
arka	arka
arkaggilus	arkaŋɡɪlus
Arkippus	arkɪpːus
armahairtei	armahɛrti
armahairtiþa	armahɛrtɪθa
armahairts	armahɛrts
armaio	armɛo
arman	arman
gaarman	ɡaarman
arms	arm̥s
arms	arm̥s
arniba	arnɪβa
aromata	aromata
Artaksairksus	artaksɛrksus
arwjo	arwjo
Asaf	asaɸ
asans	asans
Aser	aser
Asgad	asɡað
Asia	asɪa
asiluqairnus	asɪlukʷɛrnus
asilus	asɪlus
Asmoþ	asmoθ
asneis	asnis
assarjus	asːarjus
Assaum	asːɔm
astaþ	astaθ
asts	asts
at	at
ataþni	ataθnɪ
Ater	ater
atgagg	atɡaŋɡ
atisk	atɪsk
fraatjan	ɸraatjan
atta	atːa
atwitains	atwɪtɛns
Aþeinim	aθinɪm
aþnam	aθnam
aþþan	aθːan
audagei	ɔðaɣi
audagjan	ɔðaɣjan
audags	ɔðaɣs
audahafts	ɔðahaɸts
aufto	ɔɸto
augadauro	ɔɣaðɔro
augjan	ɔɣjan
ataugjan	atɔɣjan
augo	ɔɣo
auhjodus	ɔhjoðus
auhjon	ɔhjon
auhns	ɔhn̥s
auhsa	ɔhsa
auhsus	ɔhsus
